Ownership,Board,Year of Establishment,Co-Ed Status,Campus Size,Campus Type,Class,Boarding,Infrastructure,Safety and Security,Advanced Facilities,Extra Curricular,Sports and Fitness,Lab,Disabled Friendly,hall_of_fame,gallery,address,email,website,phone_no,school_name
Private,CBSE,1954,Co-Education,2.14 Acres,Urban,['Smart Classes'],[],"['Cafeteria/Canteen', 'Library/Reading Room', 'Playground']",[],['Medical Room'],"['Art and Craft', 'Dance', 'Music', 'Picnics and excursion']","['Indoor Sports', 'Outdoor Sports', 'Yoga']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms']",[],"['https://images.uniapply.com/uploads/college/image/500/2174/Bharatiya_Vidya_Bhavans_Mehta_Vidyalaya_1078_Building2_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2174/Bharatiya_Vidya_Bhavans_Mehta_Vidyalaya_1078_Building_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2174/Bharatiya_Vidya_Bhavans_Mehta_Vidyalaya_1078_Auditorium_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2174/Bharatiya_Vidya_Bhavans_Mehta_Vidyalaya_1078_Chemistry_Lab_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2174/Bharatiya_Vidya_Bhavans_Mehta_Vidyalaya_1078_Classroom_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2174/Bharatiya_Vidya_Bhavans_Mehta_Vidyalaya_1078_Laboratory_6.jpg']","Copernicus Marg, Kusturba Gandhi Marg, New Delhi, 110001",mehtavidyalaya@rediffmail.com,http://www.bvbmehtavidyalaya.org/,"011-23389943,011-23384881",Bharatiya Vidya Bhavan's Mehta Vidyalaya
Private,CBSE,1984,Co-Education,1.9 Acres,Urban,"['Smart Classes', 'Wifi']",[],"['Cafeteria/Canteen', 'Library/Reading Room', 'Playground']",['CCTV'],"['Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Debate', 'Drama', 'Music']","['Indoor Sports', 'Outdoor Sports', 'Karate']","['Computer Lab', 'Science Lab']",['Ramps'],[],"['https://images.uniapply.com/uploads/college/image/500/2184/Building_UA_210501_162439.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Assembly_UA_210501_162450.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Auditorium_UA_210501_162457.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Band_UA_210501_162505.jpg']","532, Forest Lane, Block H, Neb Sarai, Sainik Farm, South Delhi, 110068",stmaryspublicschool@yahoo.co.in,http://smpsnebsarai.in/,"011-29532211,9990339988",St. Mary's Public School
Private,NA,1978,Co-Education,NA,Urban,['Smart Classes'],[],['Library/Reading Room'],[],['Medical Room'],"['Art and Craft', 'Dance', 'Music']",[],['Computer Lab'],"['Ramps', 'Washrooms']",[],[],"Plot Number 321, Main Market, Matke Wali Gali, Badarpur, South East Delhi, 110044",9873385444,,,Jai Bharti Public School
Private,CBSE,2015,Co-Education,NA,Urban,"['Smart Classes', 'Wifi']",[],"['Library/Reading Room', 'Playground']",[],[],"['Art and Craft', 'Dance', 'Music', 'Picnics and excursion']","['Indoor Sports', 'Outdoor Sports', 'Yoga']","['Computer Lab', 'Science Lab']",['Ramps'],['BritishInternational School Awar'],"['https://images.uniapply.com/uploads/college/image/500/2184/The_Foundation_School_1886_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Foundation_School_1886_Basketball_Court_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Foundation_School_1886_Annual_Day_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Foundation_School_1886_Class_Activity_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Foundation_School_1886_Classroom_2_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Foundation_School_1886_Classroom_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Foundation_School_1886_Gardening_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Foundation_School_1886_IT_Lab_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Foundation_School_1886_School_Function_9.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Foundation_School_1886_School_Trip_10.jpg']","Josip Broz Tito Marg, Sector 3, Sadiq Nagar, South Delhi, 110049","contactus@thefoundationschool.edu.in,thefoundationschool.tfs@gmail.com",https://thefoundationschool.edu.in/,"011-26265956,011-26265956,011-26257551,011-26257552",The Foundation School
Private,CBSE,1996,Co-Education,2.33 Acres,Urban,"['Smart Classes', 'Wifi']",[],"['Auditorium/Media Room', 'Cafeteria/Canteen', 'Library/Reading Room', 'Playground']",['CCTV'],"['Alumni Association', 'Medical Room']","['Art and Craft', 'Dance', 'Drama', 'Gardening', 'Music', 'Picnics and excursion']","['Indoor Sports', 'Outdoor Sports', 'Karate', 'Taekwondo', 'Yoga']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms', 'Elevators']",[],"['https://images.uniapply.com/uploads/college/image/500/2184/The_Indian_School_1108_Building2_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Indian_School_1108_Building_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Indian_School_1108_Computer_Lab_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Indian_School_1108_Cricket_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Indian_School_1108_Dance_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Indian_School_1108_Drama_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Indian_School_1108_Examination_Room_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Indian_School_1108_Group_Presentation_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Indian_School_1108_Plantation_9.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Indian_School_1108_Science_Exhibition_10.jpg']","Josip Broz Tito Marg, Sector 1, Sadiq Nagar, South Delhi, 110049",contactus@theindianschool.in,https://theindianschool.in/,"011- 26265956,011- 26265957,011- 26257551,011- 26257552",The Indian School
Private,CBSE,1996,Co-Education,1.9 Acres,Urban,"['Smart Classes', 'Wifi']","['Boys Hostel', 'Girls Hostel']","['Cafeteria/Canteen', 'Library/Reading Room', 'Playground']",['CCTV'],['Medical Room'],"['Art and Craft', 'Dance', 'Music']","['Indoor Sports', 'Outdoor Sports']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms']",[],"['https://images.uniapply.com/uploads/college/image/500/2170/Anglo_Arabic_Model_School_1059_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2170/Anglo_Arabic_Model_School_1059_Basketball_Court_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2170/Anglo_Arabic_Model_School_1059_Campus_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2170/Anglo_Arabic_Model_School_1059_Classroom_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2170/Anglo_Arabic_Model_School_1059_Entrance_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2170/Anglo_Arabic_Model_School_1059_Fun_Activity_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2170/Anglo_Arabic_Model_School_1059_Festive_day_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2170/Anglo_Arabic_Model_School_1059_Football_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2170/Anglo_Arabic_Model_School_1059_Outer_Area_9.jpg', 'https://images.uniapply.com/uploads/college/image/500/2170/Anglo_Arabic_Model_School_1059_PlayGround_10.jpg', 'https://images.uniapply.com/uploads/college/image/500/2170/Anglo_Arabic_Model_School_1059_Skating_11.jpg']","Ajmeri Gate, Central Delhi, 110006",aams96@gmail.com,http://www.aamsdelhi.org,"011-23210863,011-23212734,9891929481",Anglo Arabic Model School
Private,CBSE,1993,Co-Education,0.63 Acre,Urban,['Wifi'],[],"['Library/Reading Room', 'Playground']",[],['Transportation'],"['Art and Craft', 'Dance', 'Music']","['Indoor Sports', 'Outdoor Sports']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms']",[],"['https://images.uniapply.com/uploads/college/image/500/2180/KD_Model_School_1463_Building_1_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/KD_Model_School_1463_Building_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/KD_Model_School_1463_Activity_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/KD_Model_School_1463_Campus_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/KD_Model_School_1463_Event_3_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/KD_Model_School_1463_Event_2_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/KD_Model_School_1463_Event_1_7.jpg']","Bawana Road, Barwala, North West Delhi, 110039",kdmodelschool@gmail.com,http://www.kdmodelschool.com/,9315939254,KD Model School
Private,CBSE,1989,Co-Education,5.2 Acres,Urban,"['Smart Classes', 'Wifi']",[],"['Library/Reading Room', 'Playground']",['CCTV'],['Transportation'],"['Dance', 'Music']","['Indoor Sports', 'Outdoor Sports']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms']",[],"['https://images.uniapply.com/uploads/college/image/500/2188/Sardar_Patel_Vidya_Niketan_1939_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Sardar_Patel_Vidya_Niketan_1939_Activity_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Sardar_Patel_Vidya_Niketan_1939_Art_and_craft_activity_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Sardar_Patel_Vidya_Niketan_1939_Classroom_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Sardar_Patel_Vidya_Niketan_1939_Computer_lab_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Sardar_Patel_Vidya_Niketan_1939_Dance_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Sardar_Patel_Vidya_Niketan_1939_Drama_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Sardar_Patel_Vidya_Niketan_1939_Ground_Activity_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Sardar_Patel_Vidya_Niketan_1939_Playground_9.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Sardar_Patel_Vidya_Niketan_1939_PT_10.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Sardar_Patel_Vidya_Niketan_1939_Yoga_11.jpg']","Khasra Number 208, Near Lalita Devi Institute of Management Mandi Road, Mandi, South West Delhi, 110047",info@spvndelhi.com,http://www.spvndelhi.com,"011-65022784,7827408062",Sardar Patel Vidya Niketan
Private,CBSE,1958,Co-Education,1.03 Acres,Urban,"['Smart Classes', 'Wifi']",[],"['Library/Reading Room', 'Playground']",['CCTV'],"['Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Drama', 'Music', 'Picnics and excursion']","['Outdoor Sports', 'Yoga']","['Computer Lab', 'Science Lab']",['Washrooms'],[],"['https://images.uniapply.com/uploads/college/image/500/2184/The_Pinnacle_School_1109_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Pinnacle_School_1109_Activity_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Pinnacle_School_1109_Campus_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Pinnacle_School_1109_Computer_Lab_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Pinnacle_School_1109_Dance_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Pinnacle_School_1109_Entrance_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Pinnacle_School_1109_Fun_Game_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Pinnacle_School_1109_Greeting_Ceremony_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Pinnacle_School_1109_Group_Photo_9.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Pinnacle_School_1109_Nukkad_10.jpg']","D-65, D Block, Panchsheel Enclave, South Delhi, 110017",thepinnacleschool@gmail.com,http://thepinnacleschool.com/,"011-26490952,011-26498609",The Pinnacle School
Private,CBSE,1975,Co-Education,2 Acres,Urban,['Wifi'],[],"['Auditorium/Media Room', 'Library/Reading Room', 'Playground']",['CCTV'],[],"['Dance', 'Music']","['Indoor Sports', 'Outdoor Sports']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms']",[],"['https://images.uniapply.com/uploads/college/image/500/2184/AES_Dr_K_Ramesh_Babu_Memorial_Senior_Secondary_School_1088_Building_2_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/AES_Dr_K_Ramesh_Babu_Memorial_Senior_Secondary_School_1088_Building_3_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/AES_Dr_K_Ramesh_Babu_Memorial_Senior_Secondary_School_1088_Building_1_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/AES_Dr_K_Ramesh_Babu_Memorial_Senior_Secondary_School_1088_Building_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/AES_Dr_K_Ramesh_Babu_Memorial_Senior_Secondary_School_1088_Award_Distribution_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/AES_Dr_K_Ramesh_Babu_Memorial_Senior_Secondary_School_1088_Event_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/AES_Dr_K_Ramesh_Babu_Memorial_Senior_Secondary_School_1088_Main_Gate_7.jpg']","Sector 7, Pushp Vihar, South Delhi, 110017",aes.pushpvihar@gmail.com,http://www.andhraeducationsociety.com,011-29562959,AES Dr. K. Ramesh Babu Memorial Senior Secondary School
Private,Cambridge,2003,Co-Education,NA,Urban,['Smart Classes'],[],"['Cafeteria/Canteen', 'Library/Reading Room', 'Playground']",[],"['Meals', 'Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Gardening', 'Music']","['Indoor Sports', 'Outdoor Sports', 'Yoga']","['Computer Lab', 'Science Lab', 'Robotics Lab']",[],[],"['https://images.uniapply.com/uploads/college/image/500/2184/DPS_International_School_1855_Building2_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/DPS_International_School_1855_Building_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/DPS_International_School_1855_Entrance_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/DPS_International_School_1855_Event_4.jpg']","P-37, M.B. Road, Sector 6, Pushp Vihar, South Delhi, 110017","theprincipal@dpsi.ac.in,dpsi111@gmail.com",https://dpsi.ac.in/dpsinternational/default_dpsi_saket.asp,"011-29561187,011-29564889",DPS International School
Private,CBSE,1954,Co-Education,1.4 Acres,Urban,"['Smart Classes', 'Wifi']",[],"['Library/Reading Room', 'Playground']",['CCTV'],['Medical Room'],"['Art and Craft', 'Dance', 'Drama', 'Music', 'Picnics and excursion']","['Indoor Sports', 'Outdoor Sports']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms']",[],"['https://images.uniapply.com/uploads/college/image/500/2176/Virmani_Public_School_1852_Building_4_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2176/Virmani_Public_School_1852_Building_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2176/Virmani_Public_School_1852_Art_Activity_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2176/Virmani_Public_School_1852_Class_Room_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2176/Virmani_Public_School_1852_Game_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2176/Virmani_Public_School_1852_Play_Ground_6.jpg']","Lacchmandas Aggrawal Marg, Block E, Roop Nagar, North Delhi, 110007","hm@vpsroopnagar.org,office@vpsroopnagar.org",https://www.vpsroopnagar.org/,"011-23847232,9990644383",Virmani Public School
Private,CBSE,NA,Co-Education,NA,NA,[],[],[],[],['Medical Room'],"['Art and Craft', 'Dance', 'Music']",[],[],[],[],"['https://images.uniapply.com/uploads/college/image/500/2180/Buildin_UA_210215_133924.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Building1_UA_210215_133927.jpg']","H.No.1, Gali No.1, Near Shiv Mandir, Vill. Chandpur Kurd, Begumpur, North West Delhi, 110081",9999446531,,,SS Saraswati Bal Mandir School
Private,CBSE,1966,Co-Education,1.37 Acres,Urban,['Wifi'],[],"['Auditorium/Media Room', 'Cafeteria/Canteen', 'Library/Reading Room', 'Playground']",['CCTV'],"['Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Music']","['Indoor Sports', 'Outdoor Sports', 'Karate', 'Yoga']","['Computer Lab', 'Science Lab']",[],[],"['https://images.uniapply.com/uploads/college/image/500/2186/South_Delhi_Public_School_1912_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2186/South_Delhi_Public_School_1912_event_1_1_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2186/South_Delhi_Public_School_1912_Sports_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2186/South_Delhi_Public_School_1912_Students_1_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2186/South_Delhi_Public_School_1912_students_2_5.jpg']","D Block, Ratan Lal Sahdev Marg, Near Flyover Market, Defence Colony, South East Delhi, 110024",sdpschooldefcol@gmail.com,http://www.southdelhipublicschool.com/,011-47633333,South Delhi Public School
Private,CISCE,1958,Co-Education,NA,Urban,[],[],"['Library/Reading Room', 'Playground']",[],[],"['Art and Craft', 'Dance', 'Music', 'Picnics and excursion']","['Indoor Sports', 'Outdoor Sports', 'Karate']",['Computer Lab'],['Ramps'],[],"['https://images.uniapply.com/uploads/college/image/500/2186/The_Frank_Anthony_Public_School_1895_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2186/The_Frank_Anthony_Public_School_1895_Campus2_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2186/The_Frank_Anthony_Public_School_1895_Campus_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2186/The_Frank_Anthony_Public_School_1895_Competition_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2186/The_Frank_Anthony_Public_School_1895_Entrance_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2186/The_Frank_Anthony_Public_School_1895_Event_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2186/The_Frank_Anthony_Public_School_1895_Outdoor_Games_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2186/The_Frank_Anthony_Public_School_1895_Outer_Area_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2186/The_Frank_Anthony_Public_School_1895_Play_Area_9.jpg', 'https://images.uniapply.com/uploads/college/image/500/2186/The_Frank_Anthony_Public_School_1895_Play_Ground_10.jpg']","Lajpat Nagar IV, Lajpat Nagar, South East Delhi, 110024",http://fapsnewdelhi.net/,"011-26435996,011-26293128",,The Frank Anthony Public School
Private,CBSE,1995,Co-Education,0.51 Acre,Urban,['Wifi'],[],"['Cafeteria/Canteen', 'Library/Reading Room', 'Playground']",['CCTV'],['Transportation'],"['Art and Craft', 'Dance', 'Music']","['Indoor Sports', 'Outdoor Sports']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms']",[],"['https://images.uniapply.com/uploads/college/image/500/2184/Building3_UA_210220_173908.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Building2_UA_210220_173905.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Building_UA_210220_173859.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Building1_UA_210220_173902.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Event_UA_210220_173917.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Dance_UA_210220_173914.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Yoga_UA_210220_173923.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Classroom_UA_210220_173911.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Activity_UA_210220_173856.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Playground_UA_210220_173920.jpg']","Main Chhatarpur Road,Chandan Hola, Mehrauli, South Delhi, 110074",rccepublicschool93@gmail.com,http://www.rccepublicschool.in,"011-64741464,9711498453",RCCE Public School
Private,CBSE,1956,Girls only,1.66 Acres,Urban,"['Smart Classes', 'Wifi']",[],"['Cafeteria/Canteen', 'Library/Reading Room', 'Playground']",[],"['Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Music']","['Indoor Sports', 'Outdoor Sports']","['Computer Lab', 'Science Lab']",['Washrooms'],[],"['https://images.uniapply.com/uploads/college/image/500/2174/Mater_Dei_School_1855_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2174/Mater_Dei_School_1855_Art_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2174/Mater_Dei_School_1855_Classroom_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2174/Mater_Dei_School_1855_Karate_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2174/Mater_Dei_School_1855_Lab_2_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2174/Mater_Dei_School_1855_lab_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2174/Mater_Dei_School_1855_Lobby_7.jpg']","Tilak Lane, Government Officers Colony, India Gate, New Delhi, 110001",contact@matardeischool.in,https://www.materdeischool.in/Default.aspx,011-23387679,Mater Dei School
Private,CBSE,1971,Co-Education,0.16 Acre,Urban,['Smart Classes'],[],"['Library/Reading Room', 'Playground']",['CCTV'],[],"['Art and Craft', 'Dance', 'Music']","['Indoor Sports', 'Outdoor Sports']","['Computer Lab', 'Science Lab']",['Ramps'],[],"['https://images.uniapply.com/uploads/college/image/500/2180/Jyoti_Model_School_1462_Building_1_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Jyoti_Model_School_1462_Building_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Jyoti_Model_School_1462_Event_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Jyoti_Model_School_1462_Science_Exhibition_1_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Jyoti_Model_School_1462_Science_Exhibition_5.jpg']","Rajan Babu Road, Block F, Adarsh Nagar, North West Delhi, 110033",jmsss80@yahoo.in,http://jyotimodelschool.in/,"011-27682469,011-27672573",Jyoti Model School
Private,CBSE,2005,Co-Education,2.3 Acres,Urban,"['Smart Classes', 'Wifi']",[],"['Library/Reading Room', 'Playground']","['CCTV', 'GPS Bus Tracking App']","['Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Music']","['Indoor Sports', 'Outdoor Sports']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms']",[],"['https://images.uniapply.com/uploads/college/image/500/2180/Siddhartha_Public_School_1531_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Siddhartha_Public_School_1531_Annual_Day_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Siddhartha_Public_School_1531_Campus_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Siddhartha_Public_School_1531_Science_Lab_2_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Siddhartha_Public_School_1531_Science_Lab_5.jpg']","Kanjhawala Road, Tatesar Extension, Jaunti, North West Delhi, 110081",ranaajitsingh64@gmail.com,http://sidhharthapublicschool.in/Contact.html,"8860500817,9250944103",Siddhartha Public School
Private,CBSE,2004,Co-Education,3 Acres,Urban,"['AC Classes', 'Smart Classes']",[],"['Auditorium/Media Room', 'Cafeteria/Canteen', 'Library/Reading Room', 'Playground']","['CCTV', 'GPS Bus Tracking App']","['Alumni Association', 'Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Debate', 'Drama', 'Music', 'Picnics and excursion']","['Indoor Sports', 'Outdoor Sports', 'Swimming Pool', 'Karate', 'Yoga']","['Computer Lab', 'Science Lab']","['Ramps', 'Elevators']",[],"['https://images.uniapply.com/uploads/college/image/500/2184/Amity_International_School_1085_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Amity_International_School_1085_Basketball_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Amity_International_School_1085_Auditorium_2_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Amity_International_School_1085_Auditorium_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Amity_International_School_1085_Art_Room_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Amity_International_School_1085_Football_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Amity_International_School_1085_Ground_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Amity_International_School_1085_Library_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Amity_International_School_1085_Music_Room_9.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Amity_International_School_1085_Yoga_10.jpg']","Birla Vidya Niketan Marg, Sector 7, Pushp Vihar, South Delhi, 110017",principal@aispv.amity.edu,https://www.amity.edu/ais/pushpvihar/,"011-29561561,011-29561693",Amity International School
Private,CBSE,1978,Co-Education,0.54 Acre,Urban,"['Smart Classes', 'Wifi']",[],"['Library/Reading Room', 'Playground']",['CCTV'],"['Alumni Association', 'Medical Room']","['Art and Craft', 'Dance', 'Music']","['Indoor Sports', 'Outdoor Sports']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms']",[],"['https://images.uniapply.com/uploads/college/image/500/2180/Sri_Guru_Nanak_Public_School_1574_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Sri_Guru_Nanak_Public_School_1574_Activity_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Sri_Guru_Nanak_Public_School_1574_chemistry_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Sri_Guru_Nanak_Public_School_1574_chess_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Sri_Guru_Nanak_Public_School_1574_Clinic_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Sri_Guru_Nanak_Public_School_1574_computer_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Sri_Guru_Nanak_Public_School_1574_Lab_1_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Sri_Guru_Nanak_Public_School_1574_Music_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Sri_Guru_Nanak_Public_School_1574_Volly_ball_9.jpg']","Bunglow Road, Adarsh Nagar, North West Delhi, 110033",info@sgnps.in,https://www.sgnps.in/,"011-27672752,011-27673744",Sri Guru Nanak Public School
